source_publication_year,sources,evidence_items
1983,1,1
1986,1,1
1987,1,1
1988,2,2
1989,3,8
1990,6,7
1991,2,2
1992,3,3
1993,5,16
1994,11,119
1995,14,101
1996,22,116
1997,21,71
1998,33,174
1999,31,196
2000,33,157
2001,43,141
2002,47,235
2003,37,127
2004,63,207
2005,81,199
2006,97,292
2007,72,321
2008,97,319
2009,152,605
2010,147,513
2011,189,625
2012,212,590
2013,280,680
2014,318,836
2015,365,751
2016,401,990
2017,271,635
2018,220,584
2019,218,454
2020,203,471
2021,138,307
2022,100,223
2023,71,123
2024,50,66
2025,21,35
